Tahun;Bulan;Negara;Komoditas;Volume;Tabel Harga
2022;December;FRANCE;Adas Manis;100.0;17.3
2022;January;MAURITIUS;Adas Manis;50.0;14.5
2022;February;MAURITIUS;Adas Manis;50.0;14.5
2022;March;MAURITIUS;Adas Manis;50.0;14.5
2022;April;MAURITIUS;Adas Manis;50.0;14.5
2022;May;MAURITIUS;Adas Manis;50.0;14.5
2022;June;MAURITIUS;Adas Manis;50.0;14.5
2022;July;MAURITIUS;Adas Manis;50.0;15.5
2022;August;MAURITIUS;Adas Manis;50.0;14.5
2022;September;MAURITIUS;Adas Manis;50.0;14.5
2022;October;MAURITIUS;Adas Manis;50.0;14.5
2022;November;MAURITIUS;Adas Manis;50.0;14.5
2022;December;MAURITIUS;Adas Manis;50.0;14.5
2022;January;NETHERLANDS;Adas Manis;0.8;4.0
2022;February;NETHERLANDS;Adas Manis;0.8;4.0
2022;March;NETHERLANDS;Adas Manis;0.8;4.0
2022;April;NETHERLANDS;Adas Manis;0.8;4.0
2022;May;NETHERLANDS;Adas Manis;0.8;4.0
2022;June;NETHERLANDS;Adas Manis;0.8;4.0
2022;July;NETHERLANDS;Adas Manis;0.8;4.0
2022;August;NETHERLANDS;Adas Manis;0.8;4.0
2022;September;NETHERLANDS;Adas Manis;0.8;4.0
2022;October;NETHERLANDS;Adas Manis;0.03;19.0
2022;November;NETHERLANDS;Adas Manis;0.8;4.0
2022;December;NETHERLANDS;Adas Manis;0.8;4.0
2022;January;SINGAPORE;Adas Manis;5.0;1.54
2022;February;SINGAPORE;Adas Manis;5.0;1.54
2022;March;SINGAPORE;Adas Manis;5.0;1.54
2022;April;SINGAPORE;Adas Manis;5.0;1.54
2022;May;SINGAPORE;Adas Manis;5.0;1.6
2022;June;SINGAPORE;Adas Manis;5.0;1.54
2022;July;SINGAPORE;Adas Manis;5.0;1.54
2022;August;SINGAPORE;Adas Manis;5.0;1.54
2022;September;SINGAPORE;Adas Manis;50.0;1.75
2022;October;SINGAPORE;Adas Manis;5.0;1.54
2022;November;SINGAPORE;Adas Manis;5.0;1.54
2022;December;SINGAPORE;Adas Manis;5.0;1.54
2022;January;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;February;SOUTH AFRICA;Adas Manis;2000.0;10.0
2022;March;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;April;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;May;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;June;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;July;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;August;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;September;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;October;SOUTH AFRICA;Adas Manis;1250.0;7.705
